Departments,description,message_clean,tokens,tokens_refined
immunogenetics,hereditary spastic paraplegia 13 a hereditary spastic paraplegia that is characterized by a pure form of the disease with late onset and has material basis in mutation in the hspd1 on chromosome 2q33. autosomal dominant spastic paraplegia 13 spg13    hereditary spastic paraplegia immunogenetics ,hereditary spastic paraplegia 13 a hereditary spastic paraplegia that is characterized by a pure form of the disease with late onset and has material basis in mutation in the hspd1 on chromosome 2q33 autosomal dominant spastic paraplegia 13 spg13    hereditary spastic paraplegia immunogenetics ,"['hereditary', 'spastic', 'paraplegia', '13', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'is', 'characterized', 'by', 'a', 'pure', 'form', 'of', 'the', 'disease', 'with', 'late', 'onset', 'and', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'hspd1', 'on', 'chromosome', '2q33', 'autosomal', 'dominant', 'spastic', 'paraplegia', '13', 'spg13', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '13', 'hereditary', 'spastic', 'paraplegia', 'characterized', 'pure', 'form', 'disease', 'late', 'onset', 'material', 'basis', 'mutation', 'hspd1', 'chromosome', '2q33', 'autosomal', 'dominant', 'spastic', 'paraplegia', '13', 'spg13', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 14 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 3q27 q28. autosomal recessive spastic paraplegia 14 autosomal recessive spastic paraplegia type 14 spg14    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 14 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 3q27 q28 autosomal recessive spastic paraplegia 14 autosomal recessive spastic paraplegia type 14 spg14    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '14', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '3q27', 'q28', 'autosomal', 'recessive', 'spastic', 'paraplegia', '14', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '14', 'spg14', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '14', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '3q27', 'q28', 'autosomal', 'recessive', 'spastic', 'paraplegia', '14', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '14', 'spg14', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 15 a hereditary spastic paraplegia that has material basis in mutation in the zfyve26 gene on chromosome 14q24.1. autosomal recessive spastic paraplegia 15 autosomal recessive spastic paraplegia type 15 hereditary spastic paraparesis type 15 kjellin syndrome spastic paraplegia and retinal degeneration spastic paraplegia retinal degeneration syndrome spg15    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 15 a hereditary spastic paraplegia that has material basis in mutation in the zfyve26 gene on chromosome 14q241 autosomal recessive spastic paraplegia 15 autosomal recessive spastic paraplegia type 15 hereditary spastic paraparesis type 15 kjellin syndrome spastic paraplegia and retinal degeneration spastic paraplegia retinal degeneration syndrome spg15    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '15', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'zfyve26', 'gene', 'on', 'chromosome', '14q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '15', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '15', 'hereditary', 'spastic', 'paraparesis', 'type', '15', 'kjellin', 'syndrome', 'spastic', 'paraplegia', 'and', 'retinal', 'degeneration', 'spastic', 'paraplegia', 'retinal', 'degeneration', 'syndrome', 'spg15', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '15', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'zfyve26', 'gene', 'chromosome', '14q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '15', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '15', 'hereditary', 'spastic', 'paraparesis', 'type', '15', 'kjellin', 'syndrome', 'spastic', 'paraplegia', 'retinal', 'degeneration', 'spastic', 'paraplegia', 'retinal', 'degeneration', 'syndrome', 'spg15', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 16 a hereditary spastic paraplegia that has material basis in variation in the chromosome region xq11.2. spg16 x linked spastic paraplegia 16 x linked spastic paraplegia type 16    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 16 a hereditary spastic paraplegia that has material basis in variation in the chromosome region xq112 spg16 x linked spastic paraplegia 16 x linked spastic paraplegia type 16    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '16', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', 'xq112', 'spg16', 'x', 'linked', 'spastic', 'paraplegia', '16', 'x', 'linked', 'spastic', 'paraplegia', 'type', '16', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '16', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', 'xq112', 'spg16', 'x', 'linked', 'spastic', 'paraplegia', '16', 'x', 'linked', 'spastic', 'paraplegia', 'type', '16', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 17 a hereditary spastic paraplegia that has material basis in mutation in the bscl2 gene on chromosome 11q12. autosomal dominant spastic paraplegia 17 autosomal dominant spastic paraplegia type 17 dhmn5b distal hereditary motor neuropathy type 5b silver spastic paraplegia syndrome silver syndrome spastic paraplegia with amyotrophy of hands and feet spastic paraplegia amyotrophy of hands and feet spg17    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 17 a hereditary spastic paraplegia that has material basis in mutation in the bscl2 gene on chromosome 11q12 autosomal dominant spastic paraplegia 17 autosomal dominant spastic paraplegia type 17 dhmn5b distal hereditary motor neuropathy type 5b silver spastic paraplegia syndrome silver syndrome spastic paraplegia with amyotrophy of hands and feet spastic paraplegia amyotrophy of hands and feet spg17    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '17', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'bscl2', 'gene', 'on', 'chromosome', '11q12', 'autosomal', 'dominant', 'spastic', 'paraplegia', '17', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '17', 'dhmn5b', 'distal', 'hereditary', 'motor', 'neuropathy', 'type', '5b', 'silver', 'spastic', 'paraplegia', 'syndrome', 'silver', 'syndrome', 'spastic', 'paraplegia', 'with', 'amyotrophy', 'of', 'hands', 'and', 'feet', 'spastic', 'paraplegia', 'amyotrophy', 'of', 'hands', 'and', 'feet', 'spg17', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '17', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'bscl2', 'gene', 'chromosome', '11q12', 'autosomal', 'dominant', 'spastic', 'paraplegia', '17', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '17', 'dhmn5b', 'distal', 'hereditary', 'motor', 'neuropathy', 'type', '5b', 'silver', 'spastic', 'paraplegia', 'syndrome', 'silver', 'syndrome', 'spastic', 'paraplegia', 'amyotrophy', 'hands', 'feet', 'spastic', 'paraplegia', 'amyotrophy', 'hands', 'feet', 'spg17', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,"hereditary spastic paraplegia 18 a hereditary spastic paraplegia that has material basis in mutation in the erlin2 gene on chromosome 8p11. autosomal recessive spastic paraplegia 18 autosomal recessive spastic paraplegia type 18 idmdc intellectual disability, motor dysfunction and joint contractures spg18    hereditary spastic paraplegia  immunogenetics",hereditary spastic paraplegia 18 a hereditary spastic paraplegia that has material basis in mutation in the erlin2 gene on chromosome 8p11 autosomal recessive spastic paraplegia 18 autosomal recessive spastic paraplegia type 18 idmdc intellectual disability motor dysfunction and joint contractures spg18    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '18', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'erlin2', 'gene', 'on', 'chromosome', '8p11', 'autosomal', 'recessive', 'spastic', 'paraplegia', '18', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '18', 'idmdc', 'intellectual', 'disability', 'motor', 'dysfunction', 'and', 'joint', 'contractures', 'spg18', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '18', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'erlin2', 'gene', 'chromosome', '8p11', 'autosomal', 'recessive', 'spastic', 'paraplegia', '18', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '18', 'idmdc', 'intellectual', 'disability', 'motor', 'dysfunction', 'joint', 'contractures', 'spg18', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 19 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 9q. autosomal dominant spastic paraplegia 19 autosomal dominant spastic paraplegia type 19 spg19    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 19 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 9q autosomal dominant spastic paraplegia 19 autosomal dominant spastic paraplegia type 19 spg19    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '19', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '9q', 'autosomal', 'dominant', 'spastic', 'paraplegia', '19', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '19', 'spg19', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '19', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '9q', 'autosomal', 'dominant', 'spastic', 'paraplegia', '19', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '19', 'spg19', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 2 a hereditary spastic paraplegia that has material basis in mutation in the plp1 gene on chromosome xq22.2. spastic paraplegia type 2 spg2 x linked spastic paraplegia 2    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 2 a hereditary spastic paraplegia that has material basis in mutation in the plp1 gene on chromosome xq222 spastic paraplegia type 2 spg2 x linked spastic paraplegia 2    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '2', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'plp1', 'gene', 'on', 'chromosome', 'xq222', 'spastic', 'paraplegia', 'type', '2', 'spg2', 'x', 'linked', 'spastic', 'paraplegia', '2', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '2', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'plp1', 'gene', 'chromosome', 'xq222', 'spastic', 'paraplegia', 'type', '2', 'spg2', 'x', 'linked', 'spastic', 'paraplegia', '2', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 23 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 1q24 q32. lison syndrome spastic paraparesis vitiligo premature graying characteristic facies syndrome spastic paraplegia 23 spastic paraplegia with pigmentary abnormalities spg23    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 23 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 1q24 q32 lison syndrome spastic paraparesis vitiligo premature graying characteristic facies syndrome spastic paraplegia 23 spastic paraplegia with pigmentary abnormalities spg23    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '23', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '1q24', 'q32', 'lison', 'syndrome', 'spastic', 'paraparesis', 'vitiligo', 'premature', 'graying', 'characteristic', 'facies', 'syndrome', 'spastic', 'paraplegia', '23', 'spastic', 'paraplegia', 'with', 'pigmentary', 'abnormalities', 'spg23', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '23', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '1q24', 'q32', 'lison', 'syndrome', 'spastic', 'paraparesis', 'vitiligo', 'premature', 'graying', 'characteristic', 'facies', 'syndrome', 'spastic', 'paraplegia', '23', 'spastic', 'paraplegia', 'pigmentary', 'abnormalities', 'spg23', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 24 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 13q14. autosomal recessive spastic paraplegia 24 autosomal recessive spastic paraplegia type 24 spg24    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 24 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 13q14 autosomal recessive spastic paraplegia 24 autosomal recessive spastic paraplegia type 24 spg24    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '24', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '13q14', 'autosomal', 'recessive', 'spastic', 'paraplegia', '24', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '24', 'spg24', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '24', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '13q14', 'autosomal', 'recessive', 'spastic', 'paraplegia', '24', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '24', 'spg24', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 25 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 6q23 q24.1. autosomal recessive spastic paraplegia 25 autosomal recessive spastic paraplegia type 25 spg25    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 25 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 6q23 q241 autosomal recessive spastic paraplegia 25 autosomal recessive spastic paraplegia type 25 spg25    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '25', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '6q23', 'q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '25', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '25', 'spg25', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '25', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '6q23', 'q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '25', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '25', 'spg25', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 26 a hereditary spastic paraplegia that has material basis in mutation in the b4galnt1 gene on chromosome 12q13. autosomal recessive spastic paraplegia 26 autosomal recessive spastic paraplegia type 26 gm2 synthase deficiency spg26    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 26 a hereditary spastic paraplegia that has material basis in mutation in the b4galnt1 gene on chromosome 12q13 autosomal recessive spastic paraplegia 26 autosomal recessive spastic paraplegia type 26 gm2 synthase deficiency spg26    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '26', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'b4galnt1', 'gene', 'on', 'chromosome', '12q13', 'autosomal', 'recessive', 'spastic', 'paraplegia', '26', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '26', 'gm2', 'synthase', 'deficiency', 'spg26', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '26', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'b4galnt1', 'gene', 'chromosome', '12q13', 'autosomal', 'recessive', 'spastic', 'paraplegia', '26', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '26', 'gm2', 'synthase', 'deficiency', 'spg26', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 27 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 10q22.1 q24.1. autosomal recessive spastic paraplegia 27 autosomal recessive spastic paraplegia type 27 spg27    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 27 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 10q221 q241 autosomal recessive spastic paraplegia 27 autosomal recessive spastic paraplegia type 27 spg27    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '27', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '10q221', 'q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '27', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '27', 'spg27', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '27', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '10q221', 'q241', 'autosomal', 'recessive', 'spastic', 'paraplegia', '27', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '27', 'spg27', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 28 a hereditary spastic paraplegia that has material basis in mutation in the ddhd1 gene on chromosome 14q22. autosomal recessive spastic paraplegia 28 autosomal recessive spastic paraplegia type 28 spg28    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 28 a hereditary spastic paraplegia that has material basis in mutation in the ddhd1 gene on chromosome 14q22 autosomal recessive spastic paraplegia 28 autosomal recessive spastic paraplegia type 28 spg28    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '28', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'ddhd1', 'gene', 'on', 'chromosome', '14q22', 'autosomal', 'recessive', 'spastic', 'paraplegia', '28', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '28', 'spg28', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '28', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'ddhd1', 'gene', 'chromosome', '14q22', 'autosomal', 'recessive', 'spastic', 'paraplegia', '28', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '28', 'spg28', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 29 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 1p31.1 p21.1. autosomal dominant spastic paraplegia 29 spg29    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 29 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 1p311 p211 autosomal dominant spastic paraplegia 29 spg29    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '29', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '1p311', 'p211', 'autosomal', 'dominant', 'spastic', 'paraplegia', '29', 'spg29', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '29', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '1p311', 'p211', 'autosomal', 'dominant', 'spastic', 'paraplegia', '29', 'spg29', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 30 a hereditary spastic paraplegia that has material basis in mutation in the kif1a gene on chromosome 2q37. autosomal recessive spastic paraplegia 30 autosomal spastic paraplegia type 30 spg30    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 30 a hereditary spastic paraplegia that has material basis in mutation in the kif1a gene on chromosome 2q37 autosomal recessive spastic paraplegia 30 autosomal spastic paraplegia type 30 spg30    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '30', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'kif1a', 'gene', 'on', 'chromosome', '2q37', 'autosomal', 'recessive', 'spastic', 'paraplegia', '30', 'autosomal', 'spastic', 'paraplegia', 'type', '30', 'spg30', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '30', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'kif1a', 'gene', 'chromosome', '2q37', 'autosomal', 'recessive', 'spastic', 'paraplegia', '30', 'autosomal', 'spastic', 'paraplegia', 'type', '30', 'spg30', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 31 a hereditary spastic paraplegia that has material basis in mutation in the reep1 gene on chromosome 2p11. autosomal dominant spastic paraplegia 31 autosomal dominant spastic paraplegia type 31 spg31    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 31 a hereditary spastic paraplegia that has material basis in mutation in the reep1 gene on chromosome 2p11 autosomal dominant spastic paraplegia 31 autosomal dominant spastic paraplegia type 31 spg31    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '31', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'reep1', 'gene', 'on', 'chromosome', '2p11', 'autosomal', 'dominant', 'spastic', 'paraplegia', '31', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '31', 'spg31', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '31', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'reep1', 'gene', 'chromosome', '2p11', 'autosomal', 'dominant', 'spastic', 'paraplegia', '31', 'autosomal', 'dominant', 'spastic', 'paraplegia', 'type', '31', 'spg31', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 32 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 14q12 q21. autosomal recessive spastic paraplegia 32 autosomal recessive spastic paraplegia type 32 spg32    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 32 a hereditary spastic paraplegia that has material basis in variation in the chromosome region 14q12 q21 autosomal recessive spastic paraplegia 32 autosomal recessive spastic paraplegia type 32 spg32    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '32', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', '14q12', 'q21', 'autosomal', 'recessive', 'spastic', 'paraplegia', '32', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '32', 'spg32', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '32', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', '14q12', 'q21', 'autosomal', 'recessive', 'spastic', 'paraplegia', '32', 'autosomal', 'recessive', 'spastic', 'paraplegia', 'type', '32', 'spg32', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 33 a hereditary spastic paraplegia that has material basis in mutation in the zfyve27 gene on chromosome 10q24. autosomal dominant spastic paraplegia 33 spg33  hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 33 a hereditary spastic paraplegia that has material basis in mutation in the zfyve27 gene on chromosome 10q24 autosomal dominant spastic paraplegia 33 spg33  hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '33', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'mutation', 'in', 'the', 'zfyve27', 'gene', 'on', 'chromosome', '10q24', 'autosomal', 'dominant', 'spastic', 'paraplegia', '33', 'spg33', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '33', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'mutation', 'zfyve27', 'gene', 'chromosome', '10q24', 'autosomal', 'dominant', 'spastic', 'paraplegia', '33', 'spg33', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
immunogenetics,hereditary spastic paraplegia 34 a hereditary spastic paraplegia that has material basis in variation in the chromosome region xq24 q25. spg34 x linked spastic paraplegia 34 x linked spastic paraplegia type 34    hereditary spastic paraplegia  immunogenetics,hereditary spastic paraplegia 34 a hereditary spastic paraplegia that has material basis in variation in the chromosome region xq24 q25 spg34 x linked spastic paraplegia 34 x linked spastic paraplegia type 34    hereditary spastic paraplegia  immunogenetics,"['hereditary', 'spastic', 'paraplegia', '34', 'a', 'hereditary', 'spastic', 'paraplegia', 'that', 'has', 'material', 'basis', 'in', 'variation', 'in', 'the', 'chromosome', 'region', 'xq24', 'q25', 'spg34', 'x', 'linked', 'spastic', 'paraplegia', '34', 'x', 'linked', 'spastic', 'paraplegia', 'type', '34', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']","['hereditary', 'spastic', 'paraplegia', '34', 'hereditary', 'spastic', 'paraplegia', 'material', 'basis', 'variation', 'chromosome', 'region', 'xq24', 'q25', 'spg34', 'x', 'linked', 'spastic', 'paraplegia', '34', 'x', 'linked', 'spastic', 'paraplegia', 'type', '34', 'hereditary', 'spastic', 'paraplegia', 'immunogenetics']"
